private_entity,external_uri,confidence
http://medkg.local/swelling,http://www.wikidata.org/entity/Q152234,0.6
http://medkg.local/tachycardia,http://www.wikidata.org/entity/Q209583,1.0
http://medkg.local/tingling,http://www.wikidata.org/entity/Q37531349,1.0
http://medkg.local/tremor,http://www.wikidata.org/entity/Q7944,0.6
http://medkg.local/vertigo,http://www.wikidata.org/entity/Q2531983,1.0
http://medkg.local/vision_loss,http://www.wikidata.org/entity/Q507787,1.0
http://medkg.local/vomiting,http://www.wikidata.org/entity/Q127076,1.0
http://medkg.local/weight_gain,http://www.wikidata.org/entity/Q3403879,1.0
http://medkg.local/weight_loss,http://www.wikidata.org/entity/Q718113,1.0
http://medkg.local/adhd,http://www.wikidata.org/entity/Q181923,0.6
http://medkg.local/aids,http://www.wikidata.org/entity/Q12199,0.6
http://medkg.local/alzheimer_disease,http://www.wikidata.org/entity/Q11081,0.6
http://medkg.local/anemia,http://www.wikidata.org/entity/Q3353348,1.0
http://medkg.local/anxiety_disorder,http://www.wikidata.org/entity/Q544006,1.0
http://medkg.local/asthma,http://www.wikidata.org/entity/Q35869,1.0
http://medkg.local/atrial_fibrillation,http://www.wikidata.org/entity/Q815819,1.0
http://medkg.local/attention_deficit_hyperactivity_disorder,http://www.wikidata.org/entity/Q181923,1.0
http://medkg.local/autism,http://www.wikidata.org/entity/Q38404,1.0
http://medkg.local/autism_spectrum_disorder,http://www.wikidata.org/entity/Q38404,0.8
http://medkg.local/bipolar_disorder,http://www.wikidata.org/entity/Q131755,1.0
http://medkg.local/breast_cancer,http://www.wikidata.org/entity/Q128581,1.0
http://medkg.local/cancer,http://www.wikidata.org/entity/Q8849,1.0
http://medkg.local/cataracts,http://www.wikidata.org/entity/Q127724,0.8
http://medkg.local/chronic_kidney_disease,http://www.wikidata.org/entity/Q736715,0.6
http://medkg.local/chronic_obstructive_pulmonary_disease,http://www.wikidata.org/entity/Q199804,1.0
http://medkg.local/cirrhosis,http://www.wikidata.org/entity/Q147778,0.6
http://medkg.local/cluster_headache,http://www.wikidata.org/entity/Q166907,1.0
http://medkg.local/colon_cancer,http://www.wikidata.org/entity/Q188874,0.6
http://medkg.local/colorectal_cancer,http://www.wikidata.org/entity/Q188874,1.0
http://medkg.local/congestive_heart_failure,http://www.wikidata.org/entity/Q181754,0.8
http://medkg.local/copd,http://www.wikidata.org/entity/Q199804,0.6
http://medkg.local/coronary_artery_disease,http://www.wikidata.org/entity/Q844935,1.0
http://medkg.local/covid_19,http://www.wikidata.org/entity/Q84263196,1.0
http://medkg.local/depression,http://www.wikidata.org/entity/Q42844,0.6
http://medkg.local/dermatitis,http://www.wikidata.org/entity/Q229256,1.0
http://medkg.local/diabetes,http://www.wikidata.org/entity/Q12206,1.0
http://medkg.local/eczema,http://www.wikidata.org/entity/Q229256,0.6
http://medkg.local/emphysema,http://www.wikidata.org/entity/Q188605,0.6
http://medkg.local/epilepsy,http://www.wikidata.org/entity/Q41571,1.0
